runs_to_be_scored,balls_remaining,wickets_remaining,label,match_winner
185.0,69.0,4.0,0,0.0
184.0,69.0,4.0,0,0.0
183.0,69.0,4.0,0,0.0
182.0,68.0,4.0,0,0.0
180.0,67.0,4.0,0,0.0
180.0,66.0,3.0,0,0.0
179.0,65.0,3.0,0,0.0
179.0,64.0,3.0,0,0.0
179.0,63.0,3.0,0,0.0
178.0,63.0,3.0,0,0.0
177.0,62.0,3.0,0,0.0
173.0,61.0,3.0,0,0.0
172.0,60.0,3.0,0,0.0
172.0,59.0,3.0,0,0.0
172.0,58.0,3.0,0,0.0
172.0,57.0,3.0,0,0.0
171.0,56.0,3.0,0,0.0
167.0,55.0,3.0,0,0.0
167.0,54.0,3.0,0,0.0
166.0,53.0,2.0,0,0.0
166.0,52.0,2.0,0,0.0
166.0,51.0,2.0,0,0.0
165.0,50.0,2.0,0,0.0
165.0,49.0,2.0,0,0.0
164.0,48.0,2.0,0,0.0
158.0,47.0,2.0,0,0.0
156.0,47.0,2.0,0,0.0
155.0,46.0,2.0,0,0.0
154.0,45.0,2.0,0,0.0
154.0,44.0,2.0,0,0.0
154.0,43.0,2.0,0,0.0
153.0,42.0,2.0,0,0.0
153.0,41.0,1.0,0,0.0
152.0,40.0,1.0,0,0.0
152.0,39.0,1.0,0,0.0
152.0,38.0,1.0,0,0.0
152.0,37.0,1.0,0,0.0
146.0,36.0,1.0,0,0.0
145.0,36.0,1.0,0,0.0
145.0,35.0,1.0,0,0.0
145.0,34.0,1.0,0,0.0
144.0,33.0,1.0,0,0.0
143.0,32.0,1.0,0,0.0
142.0,31.0,1.0,0,0.0
142.0,30.0,1.0,0,0.0
141.0,30.0,1.0,0,0.0
141.0,29.0,0.0,0,0.0
237.0,119.0,10.0,0,0.0
237.0,118.0,10.0,0,0.0
237.0,117.0,10.0,0,0.0
236.0,116.0,10.0,0,0.0
236.0,115.0,10.0,0,0.0
232.0,114.0,10.0,0,0.0
231.0,113.0,10.0,0,0.0
231.0,112.0,10.0,0,0.0
230.0,111.0,10.0,0,0.0
230.0,110.0,10.0,0,0.0
226.0,109.0,10.0,0,0.0
225.0,108.0,10.0,0,0.0
224.0,107.0,10.0,0,0.0
220.0,106.0,10.0,0,0.0
220.0,105.0,10.0,0,0.0
216.0,104.0,10.0,0,0.0
215.0,103.0,10.0,0,0.0
214.0,102.0,10.0,0,0.0
214.0,101.0,10.0,0,0.0
214.0,100.0,10.0,0,0.0
213.0,99.0,10.0,0,0.0
212.0,98.0,10.0,0,0.0
210.0,97.0,10.0,0,0.0
204.0,96.0,10.0,0,0.0
204.0,95.0,10.0,0,0.0
204.0,94.0,10.0,0,0.0
203.0,93.0,10.0,0,0.0
202.0,92.0,10.0,0,0.0
198.0,91.0,10.0,0,0.0
194.0,90.0,10.0,0,0.0
193.0,89.0,10.0,0,0.0
187.0,88.0,10.0,0,0.0
186.0,87.0,10.0,0,0.0
185.0,87.0,10.0,0,0.0
185.0,86.0,10.0,0,0.0
185.0,85.0,9.0,0,0.0
184.0,85.0,9.0,0,0.0
178.0,84.0,9.0,0,0.0
177.0,83.0,9.0,0,0.0
176.0,82.0,9.0,0,0.0
175.0,81.0,9.0,0,0.0
174.0,80.0,9.0,0,0.0
173.0,79.0,9.0,0,0.0
172.0,78.0,9.0,0,0.0
168.0,77.0,9.0,0,0.0
164.0,76.0,9.0,0,0.0
163.0,75.0,9.0,0,0.0
162.0,74.0,9.0,0,0.0
158.0,73.0,9.0,0,0.0
157.0,72.0,9.0,0,0.0
153.0,71.0,9.0,0,0.0
149.0,70.0,9.0,0,0.0
148.0,69.0,9.0,0,0.0
147.0,68.0,9.0,0,0.0
146.0,67.0,9.0,0,0.0
145.0,67.0,9.0,0,0.0
144.0,66.0,9.0,0,0.0
143.0,65.0,9.0,0,0.0
137.0,64.0,9.0,0,0.0
137.0,63.0,9.0,0,0.0
136.0,62.0,9.0,0,0.0
132.0,61.0,9.0,0,0.0
131.0,60.0,9.0,0,0.0
130.0,59.0,9.0,0,0.0
130.0,58.0,8.0,0,0.0
129.0,57.0,8.0,0,0.0
128.0,56.0,8.0,0,0.0
127.0,55.0,8.0,0,0.0
126.0,54.0,8.0,0,0.0
125.0,53.0,8.0,0,0.0
119.0,52.0,8.0,0,0.0
115.0,51.0,8.0,0,0.0
115.0,50.0,8.0,0,0.0
115.0,49.0,8.0,0,0.0
114.0,48.0,8.0,0,0.0
113.0,47.0,8.0,0,0.0
107.0,46.0,8.0,0,0.0
106.0,45.0,8.0,0,0.0
105.0,44.0,8.0,1,0.0
101.0,43.0,8.0,1,0.0
100.0,42.0,8.0,1,0.0
99.0,41.0,8.0,1,0.0
98.0,40.0,8.0,1,0.0
97.0,39.0,8.0,1,0.0
95.0,39.0,8.0,1,0.0
89.0,38.0,8.0,1,0.0
89.0,37.0,8.0,1,0.0
89.0,36.0,8.0,1,0.0
88.0,35.0,8.0,1,0.0
88.0,34.0,7.0,1,0.0
