,season,match_id,runs_to_be_scored,balls_remaining,wickets_remaining,match_winner
821,2008,335986,95.0,108.0,9.0,2.0
822,2008,335986,95.0,107.0,8.0,2.0
823,2008,335986,95.0,106.0,8.0,2.0
824,2008,335986,94.0,105.0,8.0,2.0
825,2008,335986,94.0,104.0,8.0,2.0
826,2008,335986,94.0,103.0,8.0,2.0
827,2008,335986,93.0,102.0,8.0,2.0
828,2008,335986,93.0,101.0,8.0,2.0
829,2008,335986,93.0,100.0,8.0,2.0
830,2008,335986,92.0,99.0,8.0,2.0
831,2008,335986,91.0,98.0,8.0,2.0
832,2008,335986,91.0,97.0,8.0,2.0
833,2008,335986,90.0,96.0,8.0,2.0
834,2008,335986,90.0,95.0,8.0,2.0
835,2008,335986,90.0,94.0,7.0,2.0
836,2008,335986,90.0,93.0,7.0,2.0
837,2008,335986,89.0,92.0,7.0,2.0
838,2008,335986,89.0,91.0,7.0,2.0
839,2008,335986,88.0,90.0,7.0,2.0
840,2008,335986,87.0,89.0,7.0,2.0
841,2008,335986,87.0,88.0,7.0,2.0
842,2008,335986,87.0,87.0,7.0,2.0
843,2008,335986,87.0,86.0,7.0,2.0
844,2008,335986,86.0,85.0,7.0,2.0
845,2008,335986,85.0,84.0,7.0,2.0
846,2008,335986,85.0,83.0,7.0,2.0
847,2008,335986,85.0,82.0,7.0,2.0
848,2008,335986,85.0,81.0,7.0,2.0
849,2008,335986,80.0,81.0,7.0,2.0
850,2008,335986,80.0,80.0,7.0,2.0
851,2008,335986,79.0,79.0,7.0,2.0
852,2008,335986,78.0,78.0,7.0,2.0
853,2008,335986,78.0,77.0,7.0,2.0
854,2008,335986,77.0,76.0,7.0,2.0
855,2008,335986,77.0,75.0,7.0,2.0
856,2008,335986,77.0,74.0,7.0,2.0
857,2008,335986,77.0,73.0,7.0,2.0
858,2008,335986,77.0,72.0,7.0,2.0
859,2008,335986,77.0,71.0,7.0,2.0
860,2008,335986,77.0,70.0,7.0,2.0
861,2008,335986,77.0,69.0,7.0,2.0
862,2008,335986,76.0,69.0,7.0,2.0
863,2008,335986,76.0,68.0,7.0,2.0
864,2008,335986,76.0,67.0,7.0,2.0
865,2008,335986,76.0,66.0,7.0,2.0
866,2008,335986,74.0,65.0,7.0,2.0
867,2008,335986,74.0,64.0,7.0,2.0
868,2008,335986,73.0,64.0,7.0,2.0
869,2008,335986,73.0,63.0,7.0,2.0
870,2008,335986,73.0,62.0,7.0,2.0
871,2008,335986,73.0,61.0,7.0,2.0
872,2008,335986,73.0,60.0,7.0,2.0
873,2008,335986,73.0,59.0,7.0,2.0
874,2008,335986,73.0,58.0,7.0,2.0
875,2008,335986,67.0,57.0,7.0,2.0
876,2008,335986,67.0,56.0,7.0,2.0
877,2008,335986,66.0,55.0,7.0,2.0
878,2008,335986,62.0,54.0,7.0,2.0
879,2008,335986,62.0,53.0,7.0,2.0
880,2008,335986,58.0,52.0,7.0,2.0
881,2008,335986,57.0,51.0,7.0,2.0
882,2008,335986,56.0,51.0,7.0,2.0
883,2008,335986,51.0,51.0,7.0,2.0
884,2008,335986,50.0,50.0,7.0,2.0
885,2008,335986,49.0,49.0,7.0,2.0
886,2008,335986,48.0,49.0,7.0,2.0
887,2008,335986,47.0,48.0,7.0,2.0
888,2008,335986,46.0,48.0,7.0,2.0
889,2008,335986,46.0,47.0,7.0,2.0
890,2008,335986,46.0,46.0,7.0,2.0
891,2008,335986,45.0,45.0,7.0,2.0
892,2008,335986,44.0,45.0,7.0,2.0
893,2008,335986,44.0,44.0,7.0,2.0
894,2008,335986,43.0,43.0,7.0,2.0
895,2008,335986,43.0,42.0,6.0,2.0
896,2008,335986,42.0,41.0,6.0,2.0
897,2008,335986,42.0,40.0,6.0,2.0
898,2008,335986,42.0,39.0,6.0,2.0
899,2008,335986,41.0,38.0,6.0,2.0
900,2008,335986,40.0,37.0,6.0,2.0
901,2008,335986,34.0,36.0,6.0,2.0
902,2008,335986,33.0,35.0,6.0,2.0
903,2008,335986,33.0,34.0,6.0,2.0
904,2008,335986,32.0,33.0,6.0,2.0
905,2008,335986,31.0,32.0,6.0,2.0
906,2008,335986,30.0,31.0,6.0,2.0
907,2008,335986,30.0,30.0,6.0,2.0
908,2008,335986,30.0,29.0,6.0,2.0
909,2008,335986,29.0,28.0,6.0,2.0
910,2008,335986,28.0,27.0,6.0,2.0
911,2008,335986,28.0,26.0,6.0,2.0
912,2008,335986,28.0,25.0,6.0,2.0
913,2008,335986,24.0,24.0,6.0,2.0
914,2008,335986,24.0,23.0,6.0,2.0
915,2008,335986,23.0,22.0,6.0,2.0
916,2008,335986,23.0,21.0,5.0,2.0
917,2008,335986,22.0,20.0,5.0,2.0
918,2008,335986,21.0,19.0,5.0,2.0
919,2008,335986,21.0,18.0,5.0,2.0
920,2008,335986,20.0,17.0,5.0,2.0
921,2008,335986,19.0,16.0,5.0,2.0
922,2008,335986,18.0,15.0,5.0,2.0
923,2008,335986,18.0,14.0,5.0,2.0
924,2008,335986,12.0,13.0,5.0,2.0
925,2008,335986,8.0,12.0,5.0,2.0
926,2008,335986,7.0,11.0,5.0,2.0
927,2008,335986,6.0,10.0,5.0,2.0
928,2008,335986,6.0,9.0,5.0,2.0
929,2008,335986,5.0,8.0,5.0,2.0
930,2008,335986,5.0,7.0,5.0,2.0
931,2008,335986,-1.0,6.0,5.0,2.0
1055,2008,335985,166.0,119.0,10.0,2.0
1056,2008,335985,165.0,118.0,10.0,2.0
1057,2008,335985,165.0,117.0,10.0,2.0
1058,2008,335985,164.0,116.0,10.0,2.0
1059,2008,335985,160.0,115.0,10.0,2.0
1060,2008,335985,156.0,114.0,10.0,2.0
1061,2008,335985,156.0,113.0,10.0,2.0
1062,2008,335985,156.0,112.0,10.0,2.0
1063,2008,335985,156.0,111.0,10.0,2.0
1064,2008,335985,156.0,110.0,10.0,2.0
1065,2008,335985,156.0,109.0,10.0,2.0
1066,2008,335985,155.0,108.0,10.0,2.0
1067,2008,335985,155.0,107.0,10.0,2.0
1068,2008,335985,151.0,106.0,10.0,2.0
1069,2008,335985,150.0,105.0,10.0,2.0
1070,2008,335985,149.0,104.0,10.0,2.0
1071,2008,335985,145.0,103.0,10.0,2.0
1072,2008,335985,144.0,102.0,10.0,2.0
1073,2008,335985,144.0,101.0,10.0,2.0
1074,2008,335985,143.0,100.0,10.0,2.0
1075,2008,335985,142.0,99.0,10.0,2.0
1076,2008,335985,141.0,98.0,10.0,2.0
1077,2008,335985,140.0,97.0,10.0,2.0
1078,2008,335985,139.0,96.0,10.0,2.0
1079,2008,335985,135.0,95.0,10.0,2.0
1080,2008,335985,134.0,94.0,10.0,2.0
1081,2008,335985,130.0,93.0,10.0,2.0
1082,2008,335985,130.0,92.0,10.0,2.0
1083,2008,335985,129.0,92.0,10.0,2.0
1084,2008,335985,129.0,91.0,10.0,2.0
1085,2008,335985,129.0,90.0,9.0,2.0
1086,2008,335985,128.0,89.0,9.0,2.0
1087,2008,335985,128.0,88.0,9.0,2.0
1088,2008,335985,128.0,87.0,9.0,2.0
1089,2008,335985,127.0,86.0,9.0,2.0
1090,2008,335985,126.0,85.0,9.0,2.0
1091,2008,335985,126.0,84.0,9.0,2.0
1092,2008,335985,125.0,83.0,9.0,2.0
1093,2008,335985,125.0,82.0,9.0,2.0
1094,2008,335985,121.0,81.0,9.0,2.0
1095,2008,335985,121.0,80.0,9.0,2.0
1096,2008,335985,121.0,79.0,9.0,2.0
1097,2008,335985,120.0,78.0,9.0,2.0
1098,2008,335985,118.0,77.0,9.0,2.0
1099,2008,335985,117.0,76.0,9.0,2.0
1100,2008,335985,116.0,75.0,9.0,2.0
1101,2008,335985,115.0,74.0,9.0,2.0
1102,2008,335985,114.0,73.0,9.0,2.0
1103,2008,335985,112.0,72.0,9.0,2.0
1104,2008,335985,106.0,71.0,9.0,2.0
1105,2008,335985,100.0,70.0,9.0,2.0
1106,2008,335985,99.0,70.0,9.0,2.0
1107,2008,335985,99.0,69.0,9.0,2.0
1108,2008,335985,98.0,68.0,9.0,2.0
1109,2008,335985,98.0,67.0,8.0,2.0
1110,2008,335985,97.0,66.0,8.0,2.0
1111,2008,335985,96.0,65.0,8.0,2.0
1112,2008,335985,92.0,64.0,8.0,2.0
1113,2008,335985,91.0,63.0,8.0,2.0
1114,2008,335985,91.0,62.0,8.0,2.0
1115,2008,335985,90.0,61.0,8.0,2.0
1116,2008,335985,90.0,60.0,7.0,2.0
1117,2008,335985,89.0,59.0,7.0,2.0
1118,2008,335985,88.0,58.0,7.0,2.0
1119,2008,335985,88.0,57.0,7.0,2.0
1120,2008,335985,87.0,56.0,7.0,2.0
1121,2008,335985,87.0,55.0,7.0,2.0
1122,2008,335985,86.0,54.0,7.0,2.0
1123,2008,335985,85.0,53.0,7.0,2.0
1124,2008,335985,81.0,52.0,7.0,2.0
1125,2008,335985,80.0,51.0,7.0,2.0
1126,2008,335985,79.0,50.0,7.0,2.0
1127,2008,335985,73.0,49.0,7.0,2.0
1128,2008,335985,72.0,48.0,7.0,2.0
1129,2008,335985,72.0,47.0,7.0,2.0
1130,2008,335985,68.0,46.0,7.0,2.0
1131,2008,335985,64.0,45.0,7.0,2.0
1132,2008,335985,64.0,44.0,7.0,2.0
1133,2008,335985,63.0,43.0,7.0,2.0
1134,2008,335985,62.0,42.0,7.0,2.0
1135,2008,335985,61.0,41.0,7.0,2.0
1136,2008,335985,60.0,41.0,7.0,2.0
1137,2008,335985,60.0,40.0,7.0,2.0
1138,2008,335985,60.0,39.0,6.0,2.0
1139,2008,335985,60.0,38.0,6.0,2.0
1140,2008,335985,59.0,38.0,6.0,2.0
1141,2008,335985,59.0,37.0,6.0,2.0
1142,2008,335985,57.0,36.0,6.0,2.0
1143,2008,335985,56.0,35.0,6.0,2.0
1144,2008,335985,55.0,34.0,6.0,2.0
1145,2008,335985,54.0,33.0,6.0,2.0
1146,2008,335985,50.0,32.0,6.0,2.0
1147,2008,335985,49.0,31.0,6.0,2.0
1148,2008,335985,48.0,30.0,6.0,2.0
1149,2008,335985,47.0,29.0,6.0,2.0
1150,2008,335985,43.0,28.0,6.0,2.0
1151,2008,335985,42.0,27.0,6.0,2.0
1152,2008,335985,42.0,26.0,6.0,2.0
1153,2008,335985,41.0,25.0,6.0,2.0
1154,2008,335985,40.0,24.0,6.0,2.0
1155,2008,335985,34.0,23.0,6.0,2.0
1156,2008,335985,33.0,22.0,6.0,2.0
1157,2008,335985,32.0,21.0,6.0,2.0
1158,2008,335985,31.0,20.0,6.0,2.0
1159,2008,335985,30.0,19.0,6.0,2.0
1160,2008,335985,30.0,18.0,6.0,2.0
1161,2008,335985,24.0,17.0,6.0,2.0
1162,2008,335985,23.0,16.0,6.0,2.0
1163,2008,335985,22.0,15.0,6.0,2.0
1164,2008,335985,21.0,14.0,6.0,2.0
1165,2008,335985,17.0,13.0,6.0,2.0
1166,2008,335985,11.0,12.0,6.0,2.0
1167,2008,335985,10.0,11.0,6.0,2.0
1168,2008,335985,6.0,10.0,6.0,2.0
1169,2008,335985,5.0,9.0,6.0,2.0
1170,2008,335985,5.0,8.0,5.0,2.0
1171,2008,335985,3.0,7.0,5.0,2.0
1172,2008,335985,3.0,6.0,5.0,2.0
1173,2008,335985,2.0,5.0,5.0,2.0
1174,2008,335985,1.0,5.0,5.0,2.0
1175,2008,335985,1.0,4.0,5.0,2.0
1176,2008,335985,1.0,3.0,5.0,2.0
